"firstname","lastname","adj","number","departement","position","speciality","phone","email","image","","","","","","password"
"Yacine","Kerkar","Mr","48291010","Computer Science","Associate Professor","Data Science","0654321996","yacine.kerkar@univ-alger.dz","https://api.dicebear.com/7.x/initials/svg?seed=YacineKerkar","","","","","","48291010"
"Imene","Haddad","Ms","48291009","Computer Science","Lecturer","DevOps Engineering","0654321995","imene.haddad@univ-alger.dz","https://api.dicebear.com/7.x/initials/svg?seed=ImeneHaddad","","","","","","48291009"
"Rachid","Bennour","Mr","48291008","Computer Science","Assistant Professor","Web Technologies","0654321994","rachid.bennour@univ-alger.dz","https://api.dicebear.com/7.x/initials/svg?seed=RachidBennour","","","","","","48291008"
"Nour","Hachemi","Mrs","23987456","Computer Science","Assistant Professor","Artificial Intelligence","0667812345","nour.hachemi@univ-tlemcen.dz","https://api.dicebear.com/7.x/initials/svg?seed=NourHachemi","","","","","","#REF!"
"Amina","Saheb","Ms","10495823","Computer Science","Lecturer","Cloud Computing","0672341985","amina.saheb@univ-guelma.dz","https://api.dicebear.com/7.x/initials/svg?seed=AminaSaheb","","","","","","#REF!"
"","","","","","","","","","","","","","","","0"
"","","","","","","","","","","","","","","","0"
"","","","","","","","","","","","","","","","0"
"","","","","","","","","","","","","","","","0"
"","","","","","","","","","","","","","","","0"
"","","","","","","","","","","","","","","","0"
"","","","","","","","","","","","","","","","23987456"
"","","","","","","","","","","","","","","","10495823"
